State,Local Government Area,Ward,Polling Unit Code,Polling Unit,Latitude,Longitude,Distance_km_to_Centroid,Cluster_ID,Coordinator_ID
04 - ANAMBRA,01 - AGUATA,01 - ACHINA I,1,ST. CHARLE'S SCHOOL,5.9858,7.1373,2.392510538,01---achina-i-c1,coord-01---achina-i-c1
04 - ANAMBRA,01 - AGUATA,01 - ACHINA I,2,EZIAMA SQUARE,5.9857,7.1373,2.383820086,01---achina-i-c1,coord-01---achina-i-c1
04 - ANAMBRA,01 - AGUATA,01 - ACHINA I,3,UGWUACHI SQUARE,5.9747,7.1305,0.975255109,01---achina-i-c1,coord-01---achina-i-c1
04 - ANAMBRA,01 - AGUATA,01 - ACHINA I,4,ST. PETER'S COLLEGE,5.9747,7.1262,0.689599758,01---achina-i-c1,coord-01---achina-i-c1
04 - ANAMBRA,01 - AGUATA,01 - ACHINA I,5,AMANKWU SQUARE,5.9699,7.1272,0.38709875,01---achina-i-c1,coord-01---achina-i-c1
04 - ANAMBRA,01 - AGUATA,01 - ACHINA I,6,COOPERATIVE HALL,5.9681,7.1285,0.52548689,01---achina-i-c1,coord-01---achina-i-c1
04 - ANAMBRA,01 - AGUATA,01 - ACHINA I,7,GBIRIGBO HALL,5.9678,7.1245,0.149246144,01---achina-i-c1,coord-01---achina-i-c1
04 - ANAMBRA,01 - AGUATA,01 - ACHINA I,8,OCHIEOBU SQUARE,5.9656,7.1191,0.642974439,01---achina-i-c1,coord-01---achina-i-c1
04 - ANAMBRA,01 - AGUATA,01 - ACHINA I,9,OYE MOTOR PARK I,5.9656,7.1191,0.642974439,01---achina-i-c1,coord-01---achina-i-c1
04 - ANAMBRA,01 - AGUATA,01 - ACHINA I,10,OYE MOTOR PARK II,5.9656,7.1191,0.642974439,01---achina-i-c1,coord-01---achina-i-c1
04 - ANAMBRA,01 - AGUATA,01 - ACHINA I,11,OYE MOTOR PARK III,5.9648,7.1182,0.775817707,01---achina-i-c1,coord-01---achina-i-c1
04 - ANAMBRA,01 - AGUATA,01 - ACHINA I,12,COUNCIL HALL,5.962,7.1202,0.872194749,01---achina-i-c1,coord-01---achina-i-c1
04 - ANAMBRA,01 - AGUATA,01 - ACHINA I,13,"OBINIKPA PRY. SCHOOL, UMEUZEIYI I",5.9607,7.1182,1.109931417,01---achina-i-c1,coord-01---achina-i-c1
04 - ANAMBRA,01 - AGUATA,01 - ACHINA I,14,"OBINIKPA PRY. SCHOOL, UMEUZEIYI II",5.9545,7.1082,2.360985705,01---achina-i-c1,coord-01---achina-i-c1
04 - ANAMBRA,01 - AGUATA,02 - ACHINA II,1,PROGRESSIVE SCHOOL I,5.9857,7.1375,3.700913592,02---achina-ii-c1,coord-02---achina-ii-c1
04 - ANAMBRA,01 - AGUATA,02 - ACHINA II,2,UMUELEKE HALL I,5.9857,7.1375,3.700913592,02---achina-ii-c1,coord-02---achina-ii-c1
04 - ANAMBRA,01 - AGUATA,02 - ACHINA II,3,GIRLS SECONDARY SCHOOL I,5.9681,7.1285,1.50617888,02---achina-ii-c1,coord-02---achina-ii-c1
04 - ANAMBRA,01 - AGUATA,02 - ACHINA II,4,GIRLS SECONDARY SCHOOL II,5.9548,7.1257,0.462733704,02---achina-ii-c1,coord-02---achina-ii-c1
04 - ANAMBRA,01 - AGUATA,02 - ACHINA II,5,AMANWAFOR SQUARE I,5.9548,7.1257,0.462733704,02---achina-ii-c1,coord-02---achina-ii-c1
